機台編號,發生時間,時間區間(分),運轉狀態,運轉狀態群組,生產狀態,工號,累積生產數,生產數,巡機員,異常訊息
PA02,2016/11/1 07:13,1.33,斷線,關機,,,0,0,0,
PA02,2016/11/1 07:14,24.2,運轉停止,調機,調機,T160920,13498,0,456,
PA02,2016/11/1 07:39,3.33,自動運轉中,生產,調機,T160920,13498,18,456,
PA02,2016/11/1 07:42,1.83,異常,調機,調機,T160920,13516,0,456,
PA02,2016/11/1 07:44,1.83,自動運轉中,生產,調機,T160920,13516,10,456,
PA02,2016/11/1 07:46,7.02,異常,調機,調機,T160920,13526,1,456,
PA02,2016/11/1 07:53,1.83,自動運轉中,生產,調機,T160920,13527,10,456,
PA02,2016/11/1 07:54,4.33,異常,調機,調機,T160920,13537,1,456,
PA02,2016/11/1 07:59,0.67,自動運轉中,生產,調機,T160920,13538,4,456,
PA02,2016/11/1 07:59,2.17,異常,調機,調機,T160920,13542,0,456,
PA02,2016/11/1 08:02,2.5,自動運轉中,生產,調機,T160920,13542,2,456,
PA02,2016/11/1 08:04,0.83,異常,調機,調機,T160920,13544,0,456,
PA02,2016/11/1 08:05,0.33,自動運轉中,生產,調機,T160920,13544,1,456,
PA02,2016/11/1 08:05,6.18,異常,調機,調機,T160920,13545,0,456,
PA02,2016/11/1 08:11,0.5,自動運轉中,生產,調機,T160920,13545,1,456,
PA02,2016/11/1 08:12,5.33,自動空沖RDY,調機,調機,T160920,13546,1,456,
PA02,2016/11/1 08:17,5.52,自動運轉中,生產,調機,T160920,13547,29,456,
PA02,2016/11/1 08:23,0.17,異常,異常,生產,T160920,13576,0,456,通鐵屑異常
PA02,2016/11/1 08:23,2.67,自動運轉中,生產,生產,T160920,13576,14,456,
PA02,2016/11/1 08:26,1,異常,異常,生產,T160920,13590,1,456,通鐵屑異常
PA02,2016/11/1 08:27,2.17,自動運轉中,生產,生產,T160920,13591,11,456,
PA02,2016/11/1 08:29,0.17,異常,異常,生產,T160920,13602,0,456,通鐵屑異常
PA02,2016/11/1 08:29,3.67,自動運轉中,生產,生產,T160920,13602,21,456,
PA02,2016/11/1 08:33,0.33,異常,異常,生產,T160920,13623,0,456,通鐵屑異常
PA02,2016/11/1 08:33,1.52,自動運轉中,生產,生產,T160920,13623,8,456,
PA02,2016/11/1 08:34,0.5,異常,異常,生產,T160920,13631,0,456,通鐵屑異常
PA02,2016/11/1 08:35,0.33,自動運轉中,生產,生產,T160920,13631,2,456,
PA02,2016/11/1 08:35,0.33,自動RDY,異常,生產,T160920,13633,1,456,
PA02,2016/11/1 08:36,2,自動運轉中,生產,生產,T160920,13634,10,456,
PA02,2016/11/1 08:38,0.83,異常,異常,生產,T160920,13644,1,456,通鐵屑異常
PA02,2016/11/1 08:38,3.33,自動運轉中,生產,生產,T160920,13645,18,456,
PA02,2016/11/1 08:42,3.17,異常,異常,生產,T160920,13663,0,456,通鐵屑異常
PA02,2016/11/1 08:45,0.83,自動運轉中,生產,生產,T160920,13663,5,456,
PA02,2016/11/1 08:46,1,異常,異常,生產,T160920,13668,0,456,送料X軸異常
PA02,2016/11/1 08:47,2.68,自動運轉中,生產,生產,T160920,13668,14,456,
PA02,2016/11/1 08:50,3.33,異常,異常,生產,T160920,13682,1,456,通鐵屑異常
PA02,2016/11/1 08:53,0.33,自動運轉中,生產,生產,T160920,13683,1,456,
PA02,2016/11/1 08:53,3.33,自動RDY,異常,生產,T160920,13684,0,456,不明原因
PA02,2016/11/1 08:57,1.5,自動運轉中,生產,生產,T160920,13684,8,456,
PA02,2016/11/1 08:58,0.33,異常,異常,生產,T160920,13692,0,456,通鐵屑異常
PA02,2016/11/1 08:58,4.68,自動運轉中,生產,生產,T160920,13692,26,456,
PA02,2016/11/1 09:03,0.33,異常,異常,生產,T160920,13718,1,456,送料X軸異常
PA02,2016/11/1 09:03,2,自動運轉中,生產,生產,T160920,13719,11,456,
PA02,2016/11/1 09:05,1.67,異常,異常,生產,T160920,13730,2,456,通鐵屑異常
PA02,2016/11/1 09:07,0.17,自動運轉中,生產,生產,T160920,13732,0,456,
PA02,2016/11/1 09:07,3.5,異常,異常,生產,T160920,13732,1,456,通鐵屑異常
PA02,2016/11/1 09:11,4.35,自動運轉中,生產,生產,T160920,13733,23,456,
PA02,2016/11/1 09:15,5.5,自動RDY,異常,生產,T160920,13756,0,456,不明原因
PA02,2016/11/1 09:21,2.17,自動運轉中,生產,生產,T160920,13756,11,456,
PA02,2016/11/1 09:23,0.83,異常,異常,生產,T160920,13767,1,456,通鐵屑異常
PA02,2016/11/1 09:24,2.5,自動運轉中,生產,生產,T160920,13768,14,456,
PA02,2016/11/1 09:26,0.83,異常,異常,生產,T160920,13782,0,456,通鐵屑異常
PA02,2016/11/1 09:27,0.33,自動運轉中,生產,生產,T160920,13782,2,456,
PA02,2016/11/1 09:27,1.5,自動RDY,異常,生產,T160920,13784,0,456,不明原因
PA02,2016/11/1 09:29,1,自動運轉中,生產,生產,T160920,13784,4,456,
PA02,2016/11/1 09:30,0.85,異常,異常,生產,T160920,13788,2,456,通鐵屑異常
PA02,2016/11/1 09:31,8.33,自動運轉中,生產,生產,T160920,13790,45,456,
PA02,2016/11/1 09:39,1,異常,異常,生產,T160920,13835,0,456,通鐵屑異常
PA02,2016/11/1 09:40,0.83,自動運轉中,生產,生產,T160920,13835,4,456,
PA02,2016/11/1 09:41,1.83,異常,異常,生產,T160920,13839,0,456,無料異常
PA02,2016/11/1 09:43,10.52,自動運轉中,生產,生產,T160920,13839,0,456,
PA02,2016/11/1 09:53,0.17,自動空沖RDY,異常,生產,T160920,13839,0,456,
PA02,2016/11/1 09:53,0.33,自動運轉中,生產,生產,T160920,13839,2,456,
PA02,2016/11/1 09:54,2.67,異常,異常,生產,T160920,13841,0,456,送料X軸異常
PA02,2016/11/1 09:56,0.17,自動運轉中,生產,生產,T160920,13841,0,456,
PA02,2016/11/1 09:56,0.33,異常,異常,生產,T160920,13841,0,456,送料X軸異常
PA02,2016/11/1 09:57,0.67,自動運轉中,生產,生產,T160920,13841,4,456,
PA02,2016/11/1 09:57,0.68,異常,異常,生產,T160920,13845,0,456,推料異常
PA02,2016/11/1 09:58,0.17,自動運轉中,生產,生產,T160920,13845,2,456,
PA02,2016/11/1 09:58,2.17,異常,異常,生產,T160920,13847,2,456,通鐵屑異常
PA02,2016/11/1 10:00,2.5,自動運轉中,生產,生產,T160920,13849,14,456,
PA02,2016/11/1 10:03,0.67,異常,異常,生產,T160920,13863,2,456,送料X軸異常
PA02,2016/11/1 10:04,6.5,自動運轉中,生產,生產,T160920,13865,36,456,
PA02,2016/11/1 10:10,2.85,異常,異常,生產,T160920,13901,0,456,無料異常
PA02,2016/11/1 10:13,0.5,自動運轉中,生產,生產,T160920,13901,2,456,
PA02,2016/11/1 10:13,0.5,異常,異常,生產,T160920,13903,1,456,通鐵屑異常
PA02,2016/11/1 10:14,0.33,自動運轉中,生產,生產,T160920,13904,0,456,
PA02,2016/11/1 10:14,0.5,異常,異常,生產,T160920,13904,0,456,通鐵屑異常
PA02,2016/11/1 10:15,8.33,自動運轉中,生產,生產,T160920,13904,47,456,
PA02,2016/11/1 10:23,11.85,異常,異常,生產,T160920,13951,1,456,送料X軸異常
PA02,2016/11/1 10:35,1,自動運轉中,生產,生產,T160920,13952,5,456,
PA02,2016/11/1 10:36,0.33,異常,異常,生產,T160920,13957,0,456,送料X軸異常
PA02,2016/11/1 10:36,0.17,自動運轉中,生產,生產,T160920,13957,1,456,
PA02,2016/11/1 10:36,0.5,異常,異常,生產,T160920,13958,1,456,通鐵屑異常
PA02,2016/11/1 10:37,7.18,自動運轉中,生產,生產,T160920,13959,40,456,
